sweep: random seed + 8 random secret words per key, 2^28 keys per candidate, rngseed 41
cw0                          len   1/  1 L=1 : 0 / 268435456  rate < 2^-28.0 (floor)  cap > 28.00 bits
bit0                         len   1/  1 L=1 : 0 / 268435456  rate < 2^-28.0 (floor)  cap > 28.00 bits
lastbit                      len   1/  1 L=1 : 0 / 268435456  rate < 2^-28.0 (floor)  cap > 28.00 bits
append00                     len   1/  2 L=1 : 0 / 268435456  rate < 2^-28.0 (floor)  cap > 28.00 bits
appenddup                    len   1/  2 L=1 : 0 / 268435456  rate < 2^-28.0 (floor)  cap > 28.00 bits
same5a/len+1                 len   1/  2 L=1 : 0 / 268435456  rate < 2^-28.0 (floor)  cap > 28.00 bits
zero/len+1                   len   1/  2 L=1 : 0 / 268435456  rate < 2^-28.0 (floor)  cap > 28.00 bits
cw0                          len   2/  2 L=1 : 0 / 268435456  rate < 2^-28.0 (floor)  cap > 28.00 bits
bit0                         len   2/  2 L=1 : 0 / 268435456  rate < 2^-28.0 (floor)  cap > 28.00 bits
lastbit                      len   2/  2 L=1 : 0 / 268435456  rate < 2^-28.0 (floor)  cap > 28.00 bits
append00                     len   2/  3 L=1 : 0 / 268435456  rate < 2^-28.0 (floor)  cap > 28.00 bits
appenddup                    len   2/  3 L=1 : 0 / 268435456  rate < 2^-28.0 (floor)  cap > 28.00 bits
same5a/len+1                 len   2/  3 L=1 : 0 / 268435456  rate < 2^-28.0 (floor)  cap > 28.00 bits
zero/len+1                   len   2/  3 L=1 : 0 / 268435456  rate < 2^-28.0 (floor)  cap > 28.00 bits
cw0                          len   3/  3 L=1 : 0 / 268435456  rate < 2^-28.0 (floor)  cap > 28.00 bits
bit0                         len   3/  3 L=1 : 0 / 268435456  rate < 2^-28.0 (floor)  cap > 28.00 bits
lastbit                      len   3/  3 L=1 : 0 / 268435456  rate < 2^-28.0 (floor)  cap > 28.00 bits
append00                     len   3/  4 L=1 : 0 / 268435456  rate < 2^-28.0 (floor)  cap > 28.00 bits
appenddup                    len   3/  4 L=1 : 0 / 268435456  rate < 2^-28.0 (floor)  cap > 28.00 bits
same5a/len+1                 len   3/  4 L=1 : 0 / 268435456  rate < 2^-28.0 (floor)  cap > 28.00 bits
zero/len+1                   len   3/  4 L=1 : 0 / 268435456  rate < 2^-28.0 (floor)  cap > 28.00 bits
cw0                          len   4/  4 L=1 : 0 / 268435456  rate < 2^-28.0 (floor)  cap > 28.00 bits
bit0                         len   4/  4 L=1 : 0 / 268435456  rate < 2^-28.0 (floor)  cap > 28.00 bits
lastbit                      len   4/  4 L=1 : 0 / 268435456  rate < 2^-28.0 (floor)  cap > 28.00 bits
append00                     len   4/  5 L=1 : 0 / 268435456  rate < 2^-28.0 (floor)  cap > 28.00 bits
appenddup                    len   4/  5 L=1 : 0 / 268435456  rate < 2^-28.0 (floor)  cap > 28.00 bits
same5a/len+1                 len   4/  5 L=1 : 0 / 268435456  rate < 2^-28.0 (floor)  cap > 28.00 bits
zero/len+1                   len   4/  5 L=1 : 0 / 268435456  rate < 2^-28.0 (floor)  cap > 28.00 bits
cw0                          len   5/  5 L=1 : 0 / 268435456  rate < 2^-28.0 (floor)  cap > 28.00 bits
bit0                         len   5/  5 L=1 : 0 / 268435456  rate < 2^-28.0 (floor)  cap > 28.00 bits
